Year;Host city;Champion;Runner-up;Third place;Fourth place
2017;Istanbul;Fenerbahce;Olympiacos;CSKA Moscow;Real Madrid
2018;Belgrade;Real Madrid;Fenerbahce Dogus;Zalgiris;CSKA Moscow
2019;Vitoria-Gasteiz;CSKA Moscow;Anadolu Efes;Real Madrid;Fenerbahce
2020;Cologne;Cancelled;Cancelled;Cancelled;Cancelled
2021;Cologne;Anadolu Efes;FC Barcelona;AX Armani Exchange Milan;CSKA Moscow
2022;Belgrade;Anadolu Efes;Real Madrid;FC Barcelona;Olympiacos
2023;Kaunas;Real Madrid;Olympiacos;AS Monaco;FC Barcelona
2024;Berlin;Panathinaikos AKTOR;Real Madrid;Olympiacos;Fenerbahce
2025;Abu Dhabi;Fenerbahce;AS Monaco;Olympiacos;Panathinaikos AKTOR
2026;Athens;Olympiacos;Real Madrid;Fenerbahce;Valencia
