Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2016-17;1;K. LANGFORD;UNK;28;28;34:01:00;21.8;4.8;11.2;43.1%;2.0;5.6;36.3%;6.0;7.2;83.2%;0.7;2.7;3.4;3.7;0.8;2.4;0.2;0.6;1.8;8.0;21.8
2016-17;2;N. DE COLO;CSK;28;23;27:03:00;19.1;4.8;8.6;55.4%;1.5;3.6;42.6%;5.0;5.2;95.9%;0.1;2.8;2.9;3.9;1.0;3.2;0.1;0.6;2.2;6.0;20.8
2016-17;3;E. UDOH;FNB;31;22;32:01:00;12.1;4.8;8.3;58.6%;0.0;0.0;0%;2.5;3.8;64.4%;2.5;5.3;7.8;2.2;1.0;1.2;2.2;0.2;2.1;3.7;20.7
2016-17;4;B. WANAMAKER;DDI;34;33;33:28:00;16.7;3.6;7.6;48.2%;1.6;4.3;38.6%;4.5;5.2;86.4%;0.5;2.6;3.1;4.6;1.5;3.0;0.1;0.9;2.8;5.5;17.6
2016-17;5;M. TEODOSIC;CSK;29;6;27:37:00;16.1;2.3;4.1;55%;2.7;7.0;38.1%;3.6;4.0;89.7%;0.2;1.9;2.1;6.8;0.6;3.0;0.0;0.4;1.8;3.4;17.1
2016-17;6;N. MELLI;BRO;30;30;29:13:00;11.5;3.1;5.7;53.5%;1.2;2.8;43.4%;1.8;2.4;74%;1.3;6.1;7.4;2.3;0.7;1.7;0.7;0.1;2.6;3.5;16.9
2016-17;7;S. LLULL;RMB;33;33;27:48:00;16.5;3.2;6.2;51%;2.2;6.7;33%;3.5;4.2;84.7%;0.3;1.5;1.8;5.9;0.7;2.3;0.1;0.2;1.9;4.5;16.8
2016-17;8;P. JANKUNAS;ZAL;30;30;23:38;13.0;3.8;6.9;54.8%;0.6;1.6;39.6%;3.5;4.0;86.8%;1.4;4.7;6.1;1.5;0.6;1.7;0.4;0.3;3.0;4.8;16.8
2016-17;9;B. BOGDANOVIC;FNB;22;17;27:56:00;14.6;2.8;5.0;56.9%;2.1;4.9;43%;2.7;3.1;85.5%;0.4;3.4;3.8;3.6;1.1;2.4;0.3;0.5;2.5;3.9;16.7
2016-17;10;A. GOUDELOCK;MTA;20;16;28:40:00;17.2;3.9;7.2;54.5%;2.4;5.4;45.8%;2.1;2.3;91.3%;0.2;2.4;2.6;2.8;0.2;1.7;0.0;0.1;1.6;2.8;16.1
2016-17;11;C. SINGLETON;PAO;33;29;28:14:00;12.0;2.4;4.4;54.1%;1.5;3.3;43.6%;2.9;3.8;74.8%;1.9;4.0;5.9;1.2;1.2;1.4;1.0;0.3;3.2;4.0;15.6
2016-17;12;D. BROWN;EFS;35;35;29:17:00;12.3;4.3;8.1;53.2%;0.5;1.7;29.3%;2.3;2.9;76.7%;1.7;3.9;5.5;2.2;1.0;1.6;0.5;0.3;1.9;3.1;15.3
2016-17;13;Q. COLOM;UNK;25;22;26:48:00;11.3;2.3;5.2;44.6%;1.3;4.0;33.3%;2.7;3.3;80.7%;0.9;3.0;3.9;5.7;0.6;2.5;0.0;0.2;1.0;3.5;15.1
2016-17;14;J. VOIGTMANN;BKN;33;24;23:26;10.1;3.1;4.8;64.4%;0.7;2.2;31.5%;1.7;2.4;73.1%;2.3;4.7;7.0;1.7;0.6;0.9;0.3;0.2;1.8;2.0;15.0
2016-17;15;G. PRINTEZIS;OLY;32;32;25:23:00;12.8;4.0;8.3;48.5%;0.8;2.1;40.3%;2.2;3.1;70%;1.3;3.8;5.1;1.0;0.7;0.7;0.2;0.4;1.1;3.9;14.9
2016-17;16;B. DUNSTON;EFS;35;34;28:57:00;10.7;4.0;7.2;55.3%;0.0;0.0;0%;2.7;3.9;67.9%;2.9;3.3;6.2;1.1;0.6;0.9;1.1;0.4;2.7;3.5;14.6
2016-17;17;S. LARKIN;BKN;33;33;28:54:00;13.1;2.8;6.1;45%;1.5;4.3;34.3%;3.1;3.9;79.7%;0.5;2.2;2.7;5.7;1.3;2.8;0.2;0.5;2.4;4.3;14.5
2016-17;18;A. TYUS;GSO;30;10;19:39;10.0;4.3;6.3;68.6%;0.0;0.0;0%;1.4;2.5;55.3%;1.7;3.5;5.2;0.4;0.6;1.1;1.5;0.1;1.3;2.1;14.3
2016-17;19;A. PARAKHOUSKI;UNK;29;28;21:19;11.3;4.6;7.4;62%;0.0;0.0;0%;2.0;2.6;78.7%;2.6;2.6;5.1;0.4;0.3;0.8;1.3;0.2;2.3;2.5;14.1
2016-17;20;O. KUZMIC;CZV;30;30;20:41;9.4;3.7;6.8;54.9%;0.0;0.0;0%;1.9;2.7;70.7%;2.7;4.3;7.0;1.0;1.0;1.5;0.6;0.4;1.9;2.6;13.9
2016-17;21;T. HONEYCUTT;EFS;35;1;24:30:00;9.2;2.2;4.7;46.7%;0.9;3.1;30.3%;1.9;2.9;68%;2.0;5.3;7.3;2.0;1.1;1.8;0.9;0.1;1.8;2.6;13.8
2016-17;22;G. AYON;RMB;36;36;20:39;9.8;4.4;6.4;69.9%;0.0;0.0;0%;0.9;1.8;48.5%;1.8;3.4;5.2;2.3;0.9;1.6;0.6;0.3;2.6;2.1;13.7
2016-17;23;L. DONCIC;RMB;35;15;19:53;7.8;1.3;2.6;50.5%;1.1;3.0;37.1%;1.9;2.2;84.4%;0.9;3.5;4.5;4.2;0.9;1.8;0.2;0.1;1.3;2.4;13.3
2016-17;24;A. ZIZIC;DDI;20;17;21:51;9.0;3.6;5.6;64.9%;0.0;0.0;0%;1.8;2.8;64.3%;3.1;3.6;6.7;0.4;0.2;1.2;0.8;0.3;2.0;2.7;13.2
2016-17;25;M. JAMES;PAO;25;1;22:40;13.1;3.6;6.2;58.7%;1.4;4.0;34%;1.8;2.6;68.8%;0.6;1.6;2.2;3.0;0.9;1.3;0.1;0.4;1.5;3.0;13.1
2016-17;26;A. TOMIC;FCB;29;28;21:49;8.8;3.6;6.9;52.8%;0.0;0.0;0%;1.6;3.2;49.5%;2.2;3.7;5.9;2.0;0.6;1.9;0.7;0.3;2.1;4.2;13.0
