Season,Rank,Player,Team,AgePlayer age,GP,GS,W,L,Min,DD2,TD3
2016-17,1,EKPE UDOH,FNB,29,31,22,20,11,32:01:00,7,0
2016-17,2,KEITH LANGFORD,UNK,33,28,28,7,21,34:01:00,2,0
2016-17,3,BRAD WANAMAKER,DDI,27,34,33,17,17,33:28:00,1,0
2016-17,4,NANDO DE COLO,CSK,29,28,23,20,8,27:03:00,0,0
2016-17,5,SERGIO LLULL,RMB,29,33,33,24,9,27:48:00,2,0
2016-17,6,DERRICK BROWN,EFS,29,35,35,19,16,29:17:00,4,0
2016-17,7,CHRIS SINGLETON,PAO,27,33,29,19,14,28:14:00,0,0
2016-17,8,BRYANT DUNSTON,EFS,30,35,34,19,16,28:57:00,3,0
2016-17,9,NICOLO MELLI,BRO,25,30,30,10,20,29:13:00,6,0
2016-17,10,PAULIUS JANKUNAS,ZAL,32,30,30,14,16,23:38,1,0
2016-17,11,MILOS TEODOSIC,CSK,29,29,6,22,7,27:37:00,7,0
2016-17,12,JOHANNES VOIGTMANN,BKN,24,33,24,17,16,23:26,4,0
2016-17,13,GUSTAVO AYON,RMB,31,36,36,26,10,20:39,0,0
2016-17,14,TYLER HONEYCUTT,EFS,26,35,1,19,16,24:30:00,6,0
2016-17,15,SHANE LARKIN,BKN,24,33,33,17,16,28:54:00,3,0
2016-17,16,GEORGIOS PRINTEZIS,OLY,31,32,32,20,12,25:23:00,2,0
2016-17,17,LUKA DONCIC,RMB,17,35,15,25,10,19:53,1,0
2016-17,18,THOMAS HEURTEL,EFS,27,35,6,19,16,26:17:00,2,0
2016-17,19,ALEX TYUS,GSO,28,30,10,11,19,19:39,2,0
2016-17,20,ADAM HANGA,BKN,27,33,30,17,16,28:01:00,0,0
2016-17,21,ANTHONY RANDOLPH,RMB,27,34,15,25,9,21:11,2,0
2016-17,22,WILL CLYBURN,DDI,26,34,26,17,17,28:09:00,1,0
2016-17,23,OGNJEN KUZMIC,CZV,26,30,30,16,14,20:41,4,0
2016-17,24,ARTSIOM PARAKHOUSKI,UNK,29,29,28,8,21,21:19,2,0
2016-17,25,KHEM BIRCH,OLY,24,37,21,23,14,18:06,3,0
2016-17,26,JAN VESELY,FNB,26,34,26,22,12,24:27:00,1,0
2016-17,27,VASSILIS SPANOULIS,OLY,34,33,32,20,13,26:47:00,2,0
2016-17,28,NICK CALATHES,PAO,27,33,33,19,14,27:10:00,3,0
2016-17,29,QUINO COLOM,UNK,28,25,22,7,18,26:48:00,1,0
2016-17,30,ANTE TOMIC,FCB,29,29,28,11,18,21:49,1,0
2016-17,31,BOGDAN BOGDANOVIC,FNB,24,22,17,17,5,27:56:00,0,0
2016-17,32,ALI MUHAMMED,FNB,33,34,25,22,12,25:21:00,0,0
2016-17,33,JAYSON GRANGER,EFS,27,35,32,19,16,25:27:00,0,0
2016-17,34,KOSTAS PAPANIKOLAOU,OLY,26,37,32,23,14,23:16,0,0
2016-17,35,KYLE HINES,CSK,30,35,23,26,9,20:27,2,0
2016-17,36,MARKO SIMONOVIC,CZV,30,30,3,16,14,26:43:00,0,0
2016-17,37,OTHELLO HUNTER,RMB,30,35,0,26,9,16:41,0,0
2016-17,38,SCOTTIE WILBEKIN,DDI,23,31,17,16,15,25:10:00,0,0
2016-17,39,IOANNIS BOUROUSIS,PAO,33,33,7,19,14,18:11,1,0
2016-17,40,VLADIMIR MICOV,GSO,31,29,26,11,18,29:08:00,0,0
2016-17,41,MIKE JAMES,PAO,26,25,1,15,10,22:40,0,0
2016-17,42,SINAN GULER,GSO,33,30,29,11,19,29:02:00,0,0
2016-17,43,BLAKE SCHILB,GSO,33,27,19,9,18,25:33:00,0,0
2016-17,44,ANDREW GOUDELOCK,MTA,28,20,16,6,14,28:40:00,0,0
2016-17,45,DANIEL THEIS,BRO,24,30,1,10,20,19:44,1,0
2016-17,46,FABIEN CAUSEUR,BRO,29,29,29,10,19,25:16:00,0,0
2016-17,46,TYRESE RICE,FCB,29,30,30,12,18,29:37:00,1,0
2016-17,48,RICKY HICKMAN,EA7,31,30,20,8,22,24:58:00,0,0
2016-17,49,COLTON IVERSON,MTA,27,30,24,10,20,20:36,0,0
2016-17,50,VICTOR RUDD,MTA,25,30,20,10,20,25:50:00,0,0
2016-17,51,DARIUS MILLER,BRO,26,30,19,10,20,27:08:00,0,0
2016-17,52,JAMEL MCLEAN,EA7,28,30,4,8,22,20:44,0,0
2016-17,52,LEO WESTERMANN,ZAL,24,30,27,14,16,25:10:00,1,0
2016-17,54,AARON JACKSON,CSK,30,34,29,25,9,21:39,0,0
2016-17,55,CORY HIGGINS,CSK,27,32,7,23,9,20:22,0,0
2016-17,56,MATT LOJESKI,OLY,31,26,2,17,9,21:25,0,0
2016-17,57,NIKOS ZISIS,BRO,33,30,24,10,20,24:04:00,2,0
2016-17,58,TIBOR PLEISS,GSO,27,28,20,11,17,17:07,1,0
2016-17,58,SASHA VEZENKOV,FCB,21,30,6,12,18,18:23,0,0
2016-17,60,JAMES AUGUSTINE,CSK,32,34,6,25,9,16:22,1,0
2016-17,61,LUIGI DATOME,FNB,29,33,21,23,10,23:38,0,0
2016-17,61,ERICK GREEN,OLY,24,36,4,23,13,20:29,0,0
2016-17,61,TORNIKE SHENGELIA,BKN,25,24,13,15,9,20:48,1,0
2016-17,64,BROCK MOTUM,ZAL,26,30,0,14,16,23:06,0,0
2016-17,64,KOSTAS SLOUKAS,FNB,26,29,14,21,8,26:08:00,0,0
2016-17,66,CHARLES JENKINS,CZV,27,30,29,16,14,26:05:00,0,0
2016-17,67,MILAN MACVAN,EA7,27,28,24,8,20,22:23,1,0
2016-17,67,JANIS STRELNIEKS,BRO,27,22,5,8,14,25:04:00,0,0
2016-17,69,EDGARAS ULANOVAS,ZAL,24,30,16,14,16,24:23:00,0,0
2016-17,70,NIKOLA KALINIC,FNB,25,33,20,22,11,23:57,0,0
2016-17,71,ADRIEN MOERMAN,DDI,28,33,21,17,16,21:43,2,0
2016-17,72,JAMES ANDERSON,DDI,27,34,20,17,17,22:28,0,0
2016-17,73,RUDY FERNANDEZ,RMB,31,32,7,23,9,23:21,0,0
2016-17,74,NIKITA KURBANOV,CSK,30,35,29,26,9,19:10,0,0
2016-17,74,KRUNOSLAV SIMON,EA7,31,21,9,7,14,27:38:00,0,0
2016-17,76,LUKAS LEKAVICIUS,ZAL,22,30,0,14,16,18:06,0,0
2016-17,76,ANTE ZIZIC,DDI,19,20,17,9,11,21:51,4,0
2016-17,78,KIM TILLIE,BKN,28,32,15,16,16,19:14,0,0
2016-17,79,DEVIN SMITH,MTA,33,28,24,9,19,26:11:00,3,0
2016-17,79,ANDREY VORONTSEVICH,CSK,29,35,21,26,9,19:52,0,0
2016-17,81,KC RIVERS,PAO,29,33,5,19,14,27:39:00,0,0
2016-17,82,RODRIGUE BEAUBOIS,BKN,28,30,12,15,15,20:15,0,0
