#,Player,Team,Age,GP,GS,W,L,Min,DD2,TD3
1,SASHA VEZENKOV,OLY,30,34,34,24,10,28:22,4,0
2,SYLVAIN FRANCISCO,ZAL,28,38,31,23,15,27:10,4,0
3,NIKOLA MILUTINOV,OLY,31,35,35,25,10,21:50,5,0
4,ELIJAH BRYANT,HTA,30,34,34,23,11,29:39,0,0
5,MIKE JAMES,ASM,35,36,36,21,15,30:00,4,0
6,MOSES WRIGHT,ZAL,27,38,25,23,15,23:12,6,0
7,NADIR HIFI,PBB,23,37,19,15,22,22:16,0,0
8,CHIMA MONEKE,CZV,30,35,35,20,15,26:54,3,0
9,MFIONDU KABENGELE,DUB,28,36,35,18,18,22:14,5,0
10,DAN OTURU,HTA,26,38,38,23,15,23:17,2,0
11,WADE BALDWIN IV,FBB,29,37,7,23,14,25:27,2,0
12,WALTER TAVARES,RMB,33,38,38,24,14,23:17,6,0
13,MCKINLEY WRIGHT IV,DUB,27,38,38,19,19,29:33,2,0
14,TIMOTHE LUWAWU-CABARROT,KBA,30,36,2,13,23,25:24,0,0
15,CODI MILLER-MCINTYRE,CZV,31,39,39,21,18,30:56,6,0
16,FILIP PETRUSEV,DUB,25,38,30,19,19,23:29,1,0
17,TYLER DORSEY,OLY,29,38,37,26,12,26:10,0,0
18,JAYLEN HOARD,MTA,26,35,35,18,17,28:48,5,0
19,FACUNDO CAMPAZZO,RMB,34,38,31,24,14,24:15,2,0
20,ALPHA DIALLO,ASM,28,40,40,23,17,28:02,0,0
21,ISAAC BONGA,PAR,26,38,28,16,22,27:47,2,0
22,JORDAN NWORA,CZV,27,34,29,17,17,27:07,0,0
23,ROMAN SORKIN,MTA,29,38,35,18,20,22:54,0,0
24,KENDRICK NUNN,PAO,30,32,28,20,12,29:38,1,0
25,TREY LYLES,RMB,30,36,11,24,12,20:55,1,0
26,TALEN HORTON TUCKER,FBB,25,36,28,23,13,23:39,0,0
27,JEAN MONTERO,VBC,22,32,15,22,10,21:54,0,0
28,TORNIKE SHENGELIA,BAR,34,34,29,19,15,24:56,0,0
29,KEVIN PUNTER,BAR,32,39,39,22,17,27:10,0,0
29,JUSTIN ROBINSON,PBB,28,36,19,14,22,18:58,0,0
31,JUANCHO HERNANGOMEZ,PAO,30,39,26,23,16,25:29,2,0
32,WILL CLYBURN,BAR,35,33,29,18,15,25:33,1,0
33,KOSTAS SLOUKAS,PAO,35,38,6,22,16,21:19,2,0
34,ELIE OKOBO,ASM,28,39,18,22,17,25:25,3,0
35,KAMERON TAYLOR,VBC,31,34,27,23,11,23:32,1,0
