#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
1,S. VEZENKOV,OLY,34,34,28:22,19.4,4.9,7.9,62.5%,1.7,4.4,39.6%,4.4,4.9,89.2%,1.6,5.1,6.6,1.3,0.6,1.1,0.1,0.2,0.8,3.3,23.1
2,E. BRYANT,HTA,34,34,29:39,15.9,4.4,7.3,61.1%,1.2,3.1,38.7%,3.4,3.9,89.3%,0.9,4.4,5.3,3.4,0.7,2.3,0.1,0.3,2.1,4.9,20.6
3,N. MILUTINOV,OLY,35,35,21:50,10.6,3.6,5.2,69.2%,0,0.1,0%,3.4,4.3,79.2%,3.1,4,7.1,1.4,0.7,0.7,0.6,0.3,0.6,3.9,20.1
4,S. FRANCISCO,ZAL,38,31,27:10,16.7,2.4,4.4,53.3%,2.7,6.8,39.9%,3.8,4.7,80%,0.4,2.3,2.8,6.4,1,2.9,0.4,0.4,1.9,4.7,19.5
5,M. JAMES,ASM,34,34,29:43,16.5,3.8,8.2,46.4%,1.3,4.4,30.4%,4.9,5.7,86.1%,0.4,2.9,3.4,6.4,0.9,2.3,0.1,0.5,1.9,4.5,18.9
6,C. MONEKE,CZV,34,34,26:50,14.1,3.9,6.2,63.3%,0.7,1.9,34.8%,4.3,5.5,78.1%,1.7,4.8,6.5,2,1,1.8,0.4,0.4,2.7,4.4,18.8
7,N. HIFI,PBB,37,19,22:16,18.9,3.5,7.5,47.3%,2.4,6.7,35.1%,4.8,5.6,84.2%,0.3,2,2.3,3.8,0.9,2.4,0,0.5,1.9,5.6,17.6
8,M. WRIGHT,ZAL,38,25,23:12,13.2,4.9,7.8,62.8%,0.3,0.8,32.3%,2.6,3.5,73.7%,2.4,4.2,6.6,0.9,0.6,1.5,0.9,0.3,1.9,3.3,17.4
9,M. KABENGELE,DUB,36,35,22:14,14.2,4.9,7.9,61.8%,0.6,1.8,32.3%,2.7,3.2,82.1%,2,4.1,6.1,1.2,0.7,1,0.7,0.3,2.6,3.2,17.4
10,K. NUNN,PAO,31,27,29:39,19,5.1,8.8,57.7%,2,5.3,38.4%,2.7,3,90.2%,0.5,2.2,2.7,3.7,1,2.9,0.1,0.5,2.6,3.5,16.8
11,J. MONTERO,VBC,32,15,21:54,13.7,2.6,5.2,49.1%,1.7,5.5,31.2%,3.4,3.8,89.3%,0.8,2.1,2.8,4.6,0.9,1.2,0.3,0.3,1.4,3.9,16.4
12,T. LUWAWU-CABARROT,KBA,36,2,25:24,18.2,3.2,5.8,54.8%,2.7,6.5,41.2%,3.9,4.4,89.8%,0.6,2.9,3.4,1.9,0.6,1.8,0.1,0.5,2.5,3.7,16.4
13,W. BALDWIN IV,FBB,37,7,25:27,14.1,4.1,7.6,53%,0.9,3.1,27.8%,3.4,4.2,79.6%,0.7,2.4,3.1,5.5,0.6,2.5,0.4,0.3,1.6,3.8,16.4
14,J. NWORA,CZV,33,28,27:12,17.1,4.2,7.7,54.9%,1.8,5.1,36.1%,3.2,3.9,80%,0.7,3.8,4.5,1.6,1.2,2.2,0.3,0.3,2,3.5,16.2
15,J. HOARD,MTA,35,35,28:48,11.7,3.9,6.9,57.1%,0.4,1.3,30.4%,2.7,3.1,86.4%,2.2,4.8,7.1,1.3,0.9,1.1,0.3,0.5,1.7,2.5,16.1
