"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Olympiacos Piraeus","Q","","34","24","10","70.6%","2857","2578","+279","	14-3","	10-7","	0-0","	7-3"
"2","FC Barcelona","Q","","34","23","11","67.6%","2723","2580","+143","	13-4","	10-7","	1-1","	7-3"
"3","Real Madrid","Q","Champions","34","23","11","67.6%","2877","2666","+211","	13-4","	10-7","	1-2","	6-4"
"4","AS Monaco","Q","","34","21","13","61.8%","2802","2749","+53","	13-4","	8-9","	2-1","	6-4"
"5","Maccabi Playtika Tel Aviv","Q","","34","20","14","58.8%","2827","2743","+84","	15-2","	5-12","	1-0","	8-2"
"6","Partizan Mozzart Bet Belgrade","Q","","34","20","14","58.8%","2877","2781","+96","	12-5","	8-9","	0-2","	7-3"
"7","Zalgiris Kaunas","Q","","34","19","15","55.9%","2591","2626","-35","	13-4","	6-11","	0-0","	6-4"
"8","Fenerbahce Beko Istanbul","Q","","34","19","15","55.9%","2823","2745","+78","	12-5","	7-10","	2-1","	4-6"
"9","Cazoo Baskonia Vitoria-Gasteiz","","","34","18","16","52.9%","2919","2836","+83","	14-3","	4-13","	2-0","	5-5"
"10","Crvena Zvezda Meridianbet Belgrade","","","34","17","17","50%","2591","2613","-22","	11-6","	6-11","	2-1","	6-4"
"11","Anadolu Efes Istanbul","","","34","17","17","50%","2800","2736","+64","	11-6","	6-11","	0-2","	5-5"
"12","EA7 Emporio Armani Milan","","","34","15","19","44.1%","2534","2611","-77","	9-8","	6-11","	0-2","	6-4"
"13","Valencia Basket","","","34","15","19","44.1%","2756","2891","-135","	9-8","	6-11","	2-0","	2-8"
"14","Virtus Segafredo Bologna","","","34","14","20","41.2%","2644","2801","-157","	9-8","	5-12","	0-1","	3-7"
"15","FC Bayern Munich","","","34","11","23","32.4%","2605","2739","-134","	8-9","	3-14","	0-0","	2-8"
"16","ALBA Berlin","","","34","11","23","32.4%","2704","2851","-147","	6-11","	5-12","	1-1","	5-5"
"17","Panathinaikos Athens","","","34","9","23","26.5%","2649","2773","-124","	8-9","	3-14","	2-2","	3-7"
"18","LDLC ASVEL Villeurbanne","","","34","8","26","23.5%","2527","2787","-260","	4-13","	4-13","	0-0","	0-10"
