"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Olympiacos Piraeus","Q","",38,26,12,68.4%,3406,3144,+262,16-3,10-9,0-2,8-2
"2","Valencia Basket","Q","",38,25,13,65.8%,3418,3243,+175,16-3,9-10,1-1,7-3
"3","Real Madrid","Q","",38,24,14,63.2%,3342,3156,+186,18-1,6-13,0-0,7-3
"4","Fenerbahce Beko Istanbul","Q","",38,24,14,63.2%,3114,3061,+53,14-5,10-9,0-0,3-7
"5","Zalgiris Kaunas","Q","",38,23,15,60.5%,3304,3125,+179,14-5,9-10,1-0,7-3
"6","Hapoel IBI Tel Aviv","Q","",38,23,15,60.5%,3329,3211,+118,13-6,10-9,0-2,6-4
"7","Panathinaikos AKTOR Athens","Q","",38,22,16,57.9%,3314,3228,+86,13-6,9-10,0-0,6-4
"8","AS Monaco","Q","",38,22,16,57.9%,3417,3282,+135,14-5,8-11,1-1,6-4
"9","FC Barcelona","Play-In","",38,21,17,55.3%,3167,3147,+20,12-7,9-10,2-0,4-6
"10","Crvena Zvezda Meridianbet Belgrade","Play-In","",38,21,17,55.3%,3287,3245,+42,13-6,8-11,2-1,5-5
"11","Dubai Basketball","","",38,19,19,50%,3324,3325,-1,13-6,6-13,1-1,5-5
"12","Maccabi Rapyd Tel Aviv","","",38,18,20,47.4%,3386,3486,-100,11-8,7-12,2-1,5-5
"13","FC Bayern Munich","","",38,17,21,44.7%,3063,3168,-105,12-7,5-14,0-1,5-5
"14","EA7 Emporio Armani Milan","","",38,17,21,44.7%,3246,3294,-48,11-8,6-13,1-0,3-7
"15","Partizan Mozzart Bet Belgrade","","",38,16,22,42.1%,3052,3242,-190,11-8,5-14,2-1,7-3
"16","Paris Basketball","","",38,15,23,39.5%,3422,3456,-34,8-11,7-12,0-0,5-5
"17","Virtus Bologna","","",38,14,24,36.8%,3110,3285,-175,9-10,5-14,0-0,2-8
"18","Kosner Baskonia Vitoria-Gasteiz","","",38,13,25,34.2%,3321,3483,-162,11-8,2-17,0-2,4-6
"19","Anadolu Efes Istanbul","","",38,12,26,31.6%,2991,3151,-160,7-12,5-14,1-2,3-7
"20","LDLC ASVEL Villeurbanne","","",38,8,30,21.1%,2989,3270,-281,6-13,2-17,1-0,1-9
